gene,log2FC,padj
E01134,0.2001 ,0.0192 
E01135,0.8683 ,0.0000 
E01136,-0.2572 ,0.0000 
E01138,1.2059 ,0.0000 
E01139,0.0924 ,0.1090 
E01141,5.5215 ,0.0000 
E01142,0.0600 ,0.4041 
E01143,-0.1001 ,0.2862 
E01148,-0.4301 ,0.0000 
E01149,-0.6664 ,0.0000 
E01151,-1.0528 ,0.0000 
E01152,-0.6661 ,0.8475 
E01153,-2.3266 ,0.0185 
E01156,-0.4212 ,0.0000 
E01157,-1.0681 ,0.2786 
E01158,-0.8034 ,0.0000 
E01161,0.7795 ,0.0000 
E01163,-0.2161 ,0.0014 
E01165,0.4750 ,0.9610 
E01167,4.5835 ,0.0000 
E01169,0.1121 ,0.6762 
E01170,0.2806 ,0.0000 
E01171,0.2698 ,0.0010 
E01172,0.0522 ,0.1431 
E01173,3.1036 ,0.0000 
E01174,2.2583 ,0.0000 
E01177,-0.2259 ,0.0023 
E01178,-0.3245 ,0.0000 
E01181,-0.9724 ,0.0000 
E01182,0.2084 ,0.0019 
E01183,0.4486 ,0.9610 
E01184,-0.1260 ,0.1821 
E01185,1.4355 ,0.0000 
E01187,0.0532 ,0.9610 
E01189,-1.5419 ,0.0000 
E01190,0.0845 ,0.1017 
E01191,0.0962 ,0.3233 
E01192,0.3260 ,0.0000 
E01193,0.1138 ,0.8635 
E01194,-0.4904 ,0.0000 
E01195,-1.9193 ,0.0000 
E01198,-0.6343 ,0.0092 
E01199,-0.0726 ,0.6702 
E01201,0.5083 ,0.0000 
E01203,0.1676 ,0.0087 
E01204,0.2236 ,0.0000 
E01205,-0.5506 ,0.0000 
E01210,-0.2946 ,0.0012 
E01211,0.3074 ,0.0000 
E01213,-0.0188 ,1.0000 
E01214,-1.6313 ,0.0000 
E01215,0.0364 ,0.8666 
E01216,1.9156 ,0.0000 
E01217,2.5162 ,0.0000 
E01219,1.5357 ,0.1555 
E01222,-0.1836 ,0.0086 
E01223,-0.4810 ,0.0000 
E01224,-0.8841 ,0.0000 
E01225,-0.1223 ,0.1785 
E01227,-0.8221 ,0.0000 
E01228,-0.7131 ,0.0000 
E01229,-2.3377 ,0.0000 
E01232,-0.2152 ,0.2074 
E01235,-0.1110 ,0.0004 
E01236,-0.4209 ,0.0001 
E01237,-0.0518 ,0.4189 
E01238,0.7215 ,0.0000 
E01239,-1.8210 ,0.0000 
E01241,0.1161 ,0.3053 
E01242,-3.2915 ,0.0000 
E01243,0.2717 ,0.0000 
E01245,1.0326 ,0.0000 
E01247,0.7394 ,0.0000 
E01249,-3.0159 ,0.0000 
E01250,-0.5617 ,0.0000 
E01251,2.7361 ,0.0010 
E01252,1.1196 ,0.0000 
E01253,-0.8068 ,0.0000 
E01254,-3.8437 ,0.0000 
E01255,0.1395 ,0.1961 
E01256,-0.0248 ,0.6872 
E01258,0.1891 ,0.0550 
E01259,1.4610 ,0.0000 
E01260,0.3503 ,0.0912 
E01261,0.8923 ,0.3516 
E01265,0.2705 ,0.0222 
E01269,0.2182 ,0.0000 
E01270,0.0357 ,0.7485 
E01271,0.6776 ,0.0000 
E01272,-0.8855 ,0.0000 
E01273,0.2795 ,0.0036 
E01274,1.0754 ,0.0000 
E01276,-0.1467 ,0.1354 
E01277,-0.3271 ,0.0019 
E01278,-0.4809 ,0.0000 
E01283,0.0619 ,0.4506 
E01285,-0.8570 ,0.0000 
E01287,0.8366 ,0.6844 
E01288,-1.0629 ,0.0001 
E01289,-0.1527 ,0.1423 
E01293,-0.3159 ,0.0000 
E01294,0.6253 ,0.0000 
E01295,-0.3754 ,0.0000 
E01296,0.7231 ,0.0000 
E01297,1.2095 ,0.0000 
E01299,-0.8351 ,0.0000 
E01300,-0.3193 ,0.0000 
E01302,1.0845 ,0.0000 
E01303,0.1958 ,0.0004 
E01304,0.9790 ,0.0000 
E01309,0.7471 ,0.0000 
E01311,-0.1968 ,0.0865 
E01312,0.0235 ,0.9290 
E01313,2.1281 ,0.0000 
E01314,-0.5501 ,0.0000 
E01315,1.7326 ,0.2147 
E01316,0.4679 ,0.0000 
E01317,0.4535 ,0.0000 
E01323,0.4039 ,0.0001 
E01324,-0.1402 ,0.9610 
E01325,-0.9309 ,0.0000 
E01329,-2.3172 ,0.0000 
E01331,0.2379 ,0.0015 
E01335,0.1586 ,0.0480 
E01336,-0.2847 ,0.0172 
E01337,0.0644 ,0.5875 
E01338,0.8318 ,0.6844 
E01339,-0.6085 ,0.0000 
E01341,0.5280 ,0.0356 
E01342,1.4168 ,0.0033 
E01344,-1.1777 ,0.0000 
E01345,0.4538 ,0.0000 
E01346,-0.1171 ,0.0361 
E01348,0.3487 ,0.0000 
E01349,0.7815 ,0.0000 
E01350,-0.1688 ,0.0376 
E01351,0.1826 ,0.0000 
E01352,-0.0233 ,0.7341 
E01353,-0.4337 ,0.0001 
E01355,0.3452 ,0.0000 
E01357,0.5362 ,0.0118 
E01360,-0.5916 ,0.1263 
E01367,3.1418 ,0.0000 
E01368,8.3309 ,0.0000 
E01369,1.4066 ,0.0296 
E01374,3.7598 ,0.0000 
E01375,0.4820 ,0.0108 
E01376,-0.4309 ,0.0004 
E01377,-0.2798 ,0.0000 
E01378,0.1580 ,0.3604 
E01379,1.1196 ,0.4063 
E01383,-0.7897 ,0.0000 
E01385,-1.8070 ,0.0000 
E01389,-2.7882 ,0.0000 
E01391,-2.5053 ,0.0000 
E01392,1.5606 ,0.4803 
E01396,0.3117 ,0.0001 
E01397,-0.1319 ,0.2001 
E01402,-0.2660 ,0.0004 
E01404,0.1245 ,0.3679 
E01407,0.5930 ,0.0402 
E01408,6.1752 ,0.0000 
E01409,-0.4402 ,0.0000 
E01410,-0.3282 ,0.0000 
E01412,-1.4502 ,0.2551 
E01414,-0.0823 ,0.6800 
E01415,0.1134 ,0.0066 
E01416,0.1877 ,0.0402 
E01417,-0.5707 ,0.0000 
E01418,0.8637 ,0.0000 
E01419,-0.9943 ,0.0000 
E01420,0.0613 ,0.4921 
E01422,2.4499 ,0.0220 
E01424,0.0828 ,0.4415 
E01425,1.8073 ,0.0000 
E01426,0.5757 ,0.0000 
E01427,0.8348 ,0.0000 
E01428,0.4187 ,0.0502 
E01429,0.1202 ,0.2397 
E01430,-0.0827 ,0.4225 
E01431,-0.8406 ,0.0000 
E01432,0.1645 ,0.1161 
E01435,-1.2758 ,0.0000 
E01436,0.5151 ,0.0000 
E01439,1.7573 ,0.0000 
E01440,-0.5122 ,0.0000 
E01441,0.2834 ,0.0000 
E01442,0.0869 ,0.0436 
E01443,-0.2839 ,0.0015 
E01448,-0.0456 ,0.3643 
E01449,-0.2165 ,0.0008 
E01450,0.0788 ,0.5056 
E01452,-0.6317 ,0.0107 
E01453,0.1162 ,0.0012 
E01454,0.2705 ,0.0000 
E01455,-0.7827 ,0.0000 
E01456,-0.4458 ,0.0000 
E01457,-0.0393 ,0.8256 
E01465,-0.4948 ,0.0000 
E01469,1.9911 ,0.0000 
E01470,0.4052 ,0.0000 
E01474,3.6127 ,0.0000 
E01476,1.3435 ,0.2531 
E01478,0.0128 ,1.0000 
E01479,0.1775 ,0.0000 
E01480,1.6725 ,0.0000 
E01483,-0.1245 ,0.2255 
E01484,1.1373 ,0.0000 
E01488,-0.0037 ,0.9556 
E01489,1.5228 ,0.0000 
E01490,-0.6004 ,0.0000 
E01492,1.6573 ,0.0000 
E01493,-0.2853 ,0.0094 
E01494,-0.7054 ,0.0000 
E01499,-0.6063 ,0.4511 
E01500,-0.6898 ,0.0000 
E01501,0.5623 ,0.0000 
E01506,2.2015 ,0.0000 
E01514,0.9976 ,0.0000 
